Individuo,lnsalario,educ,edad,edad2,urban,soltero,casado,femenino
3291,"3,4684",12,55,3025,1,0,1,0
3292,"3,4684",5,56,3136,1,0,1,0
3293,"3,4459",10,50,2500,1,0,1,0
3294,"3,6536",10,45,2025,1,0,1,0
3295,"3,6226",12,44,1936,1,0,1,0
3296,"3,5355",16,30,900,1,0,1,0
3297,"3,3814",10,47,2209,0,0,1,0
3298,"3,7248",16,51,2601,1,0,1,0
3299,"3,7714",10,32,1024,1,0,1,0
3300,"3,7714",12,45,2025,0,0,1,0
3301,"3,6915",12,34,1156,1,0,1,0
3302,"3,7561",10,44,1936,1,0,1,0
3303,"3,8739",16,53,2809,1,0,1,0
3304,"3,8409",10,45,2025,1,0,1,0
3305,"4,1616",16,48,2304,1,0,1,0
3306,"4,1391",16,40,1600,1,0,1,0
3307,"4,1546",16,38,1444,1,0,1,0
3308,"4,3746",16,45,2025,0,0,1,0
3309,"4,5699",16,44,1936,1,0,1,0
3310,"4,5341",16,36,1296,1,0,1,0
3311,"-0,9361",5,27,729,0,1,0,0
3312,"0,1625",5,14,196,1,1,0,0
3313,"-0,1376",9,21,441,0,1,0,0
3314,"0,0492",5,32,1024,1,0,1,0
3315,"0,3857",10,22,484,1,1,0,0
3316,"0,6733",9,36,1296,0,0,1,0
3317,"1,0788",16,25,625,1,0,1,0
3318,"0,8557",12,25,625,1,0,1,0
3319,"1,2330",5,16,256,1,1,0,0
3320,"1,0788",9,22,484,0,0,1,0
3321,"1,6666",12,20,400,1,1,0,0
3322,"2,0596",10,21,441,0,1,0,1
3323,"1,8773",5,20,400,0,1,0,0
3324,"1,5896",12,28,784,1,1,0,1
3325,"1,6666",5,24,576,0,0,1,0
3326,"2,1774",5,25,625,1,1,0,0
3327,"1,9543",5,20,400,0,0,1,0
3328,"1,9055",5,40,1600,1,0,0,1
3329,"1,8365",16,27,729,1,1,0,0
3330,"1,7720",5,17,289,1,1,0,0
3331,"1,6178",12,22,484,0,1,0,0
3332,"1,5488",9,49,2401,0,0,1,0
3333,"1,4843",5,25,625,0,0,1,0
3334,"1,3947",5,32,1024,0,0,1,0
3335,"1,6978",5,24,576,0,0,1,1
3336,"1,6289",5,20,400,1,1,0,0
3337,"1,4747",9,18,324,1,1,0,0
3338,"1,3165",9,16,256,0,1,0,0
3339,"2,0821",5,30,900,0,0,1,0
3340,"2,0596",10,28,784,1,0,1,0
3341,"2,0377",5,25,625,1,1,0,0
3342,"2,0377",9,26,676,1,0,1,0
3343,"2,0162",5,15,225,1,1,0,0
3344,"2,0162",5,50,2500,1,0,0,0
3345,"1,9951",12,22,484,0,1,0,0
3346,"1,9951",9,16,256,0,1,0,0
3347,"1,9951",5,21,441,1,1,0,1
3348,"1,9951",5,23,529,1,1,0,1
3349,"1,9951",5,22,484,0,0,1,0
3350,"1,9951",9,15,225,0,1,0,0
3351,"1,9951",12,22,484,1,1,0,0
3352,"1,9951",10,23,529,1,0,1,0
3353,"1,9151",5,19,361,0,1,0,0
3354,"1,8773",9,23,529,1,1,0,0
3355,"1,8773",5,45,2025,1,0,1,0
3356,"1,8773",5,18,324,1,1,0,0
3357,"1,8409",12,32,1024,0,0,1,0
3358,"1,7720",5,18,324,1,1,0,0
3359,"1,7720",9,17,289,1,1,0,0
3360,"1,6178",5,22,484,0,1,0,0
3361,"2,4045",12,28,784,1,0,1,0
3362,"2,0596",5,52,2704,1,0,1,0
3363,"2,0596",5,31,961,0,0,1,0
3364,"1,9235",5,17,289,1,1,0,0
3365,"2,2073",9,18,324,1,1,0,0
3366,"2,1203",5,18,324,0,1,0,0
3367,"1,7438",5,30,900,1,1,0,0
3368,"2,5829",5,17,289,0,1,0,0
3369,"2,5829",5,34,1156,0,0,1,0
3370,"2,3597",5,17,289,0,1,0,0
3371,"2,2644",12,21,441,1,1,0,0
3372,"2,1774",5,30,900,1,0,1,0
3373,"2,1774",16,30,900,1,1,0,0
3374,"2,1774",5,30,900,0,0,1,0
3375,"2,1774",5,30,900,0,0,1,0
3376,"2,1774",5,48,2304,1,0,1,1
